Repos,Dependent,data.repository.databaseId,data.repository.url,data.repository.name,data.repository.owner.login,data.repository.stargazerCount,data.repository.watchers.totalCount,data.repository.releases.nodes,data.repository.primaryLanguage.name,data.repository.languages.nodes,data.repository.forkCount,data.repository.isFork,data.repository.parent,data.repository.licenseInfo,data.repository.vulnerabilityAlerts.totalCount,data.repository.vulnerabilityAlerts.nodes,data.repository.licenseInfo.spdxId
laurentdevparitel/twitter-react,No Dependent,,,,,,,,,,,,,,,,
901david/candystreatshop,No Dependent,,,,,,,,,,,,,,,,
RafaelEstevam/dados-estatisticos-eleicao-2020-front,No Dependent,,,,,,,,,,,,,,,,
devepro/Finder-React-App,No Dependent,,,,,,,,,,,,,,,,
flipmotion/opera-test,No Dependent,,,,,,,,,,,,,,,,
SimonOneNineEight/website,No Dependent,,,,,,,,,,,,,,,,
Vovannbc/crud-instance-example,No Dependent,,,,,,,,,,,,,,,,
robsonmrsp/ecommerce,No Dependent,,,,,,,,,,,,,,,,
jomuji/frontity-fringales2,No Dependent,,,,,,,,,,,,,,,,
901david/react-template-recoil,No Dependent,,,,,,,,,,,,,,,,
LINOSNCHENA/JAVA-Microservices-in-SpringBoot-and-Angular,No Dependent,,,,,,,,,,,,,,,,
CoderRCAman/employemanagement-frontend,No Dependent,,,,,,,,,,,,,,,,
SimonThormeyer/iterative-lexical-item-approximation,No Dependent,,,,,,,,,,,,,,,,
philiplehmann/cv,No Dependent,,,,,,,,,,,,,,,,
bradur/film-recommender-frontend,No Dependent,,,,,,,,,,,,,,,,
mojaouhari/gatsby-example,No Dependent,,,,,,,,,,,,,,,,
LuckyOne3/pizza-shop,No Dependent,,,,,,,,,,,,,,,,
901david/use-mapped-state,hessine/Dash_Terraform,334942875.0,https://github.com/hessine/Dash_Terraform,Dash_Terraform,hessine,0.0,1.0,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}, {'name': 'Dockerfile'}, {'name': 'Shell'}]",0.0,False,,,0.0,[],
901david/use-mapped-state,901david/dollars-and-sense,245692244.0,https://github.com/901david/dollars-and-sense,dollars-and-sense,901david,0.0,1.0,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0.0,False,,,0.0,[],
901david/use-mapped-state,hessine/Accretio_Dashboard,258347913.0,https://github.com/hessine/Accretio_Dashboard,Accretio_Dashboard,hessine,0.0,1.0,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}, {'name': 'Shell'}]",0.0,False,,,0.0,[],
901david/use-mapped-state,DavidH-xactly/web-component-react,248330712.0,https://github.com/DavidH-xactly/web-component-react,web-component-react,DavidH-xactly,0.0,1.0,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'TypeScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0.0,False,,,0.0,[],
901david/use-mapped-state,901david/react-use-priority-queue,242296089.0,https://github.com/901david/react-use-priority-queue,react-use-priority-queue,901david,0.0,1.0,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'JavaScript'}]",0.0,False,,,0.0,[],
901david/use-mapped-state,901david/twilio-lambda,240824836.0,https://github.com/901david/twilio-lambda,twilio-lambda,901david,0.0,1.0,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'Groovy'}, {'name': 'CSS'}, {'name': 'Dockerfile'}]",0.0,False,,,0.0,[],
901david/use-mapped-state,itsmedexter/React_State,239053095.0,https://github.com/itsmedexter/React_State,React_State,itsmedexter,0.0,1.0,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0.0,False,,,0.0,[],
901david/use-mapped-state,901david/dock-hand,239146984.0,https://github.com/901david/dock-hand,dock-hand,901david,0.0,1.0,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'CSS'}, {'name': 'Dockerfile'}]",0.0,False,,,0.0,[],
901david/use-mapped-state,901david/docker-dashboard,236463059.0,https://github.com/901david/docker-dashboard,docker-dashboard,901david,0.0,1.0,[],TypeScript,"[{'name': 'TypeScript'}, {'name': 'JavaScript'}, {'name': 'HTML'}, {'name': 'Dockerfile'}]",2.0,False,,,0.0,[],
901david/use-mapped-state,901david/how-will-you-be-perceived,236331784.0,https://github.com/901david/how-will-you-be-perceived,how-will-you-be-perceived,901david,0.0,1.0,[],JavaScript,"[{'name': 'JavaScript'}, {'name': 'TypeScript'}, {'name': 'HTML'}, {'name': 'CSS'}]",0.0,False,,,0.0,[],
Saifrazaa/gastrofy-testtask,No Dependent,,,,,,,,,,,,,,,,
hchev001/stsite,No Dependent,,,,,,,,,,,,,,,,
7ynal/7okyo,No Dependent,,,,,,,,,,,,,,,,
SanjayTml/ink-electron,No Dependent,,,,,,,,,,,,,,,,
ErykGaszczyk/spinbits-2,No Dependent,,,,,,,,,,,,,,,,
ikrik/List-of-React-Repositories,No Dependent,,,,,,,,,,,,,,,,
quasare/devsource-frontend,No Dependent,,,,,,,,,,,,,,,,
RafaelEstevam/dados-estatisticos-gerais-eleicao-2020,No Dependent,,,,,,,,,,,,,,,,
shapaaa/yelp-client,No Dependent,,,,,,,,,,,,,,,,
eugeniol/rc3-components,No Dependent,,,,,,,,,,,,,,,,
javierh2k/react-avanzado-storybook,No Dependent,,,,,,,,,,,,,,,,
mbifulco/lazy-shop-netlifycms-snipcart,No Dependent,,,,,,,,,,,,,,,,
Sienkiewicz/tetris_project,No Dependent,,,,,,,,,,,,,,,,
yeutech-lab/rollup-umd-documentation,bootstrap-styled/rsg-components,159607849.0,https://github.com/bootstrap-styled/rsg-components,rsg-components,bootstrap-styled,6.0,4.0,"[{'tagName': 'v2.1.7', 'author': {'login': 'kopax', 'databaseId': 1866564}, 'createdAt': '2020-01-29T08:58:29Z', 'publishedAt': '2020-01-29T08:59:11Z', 'updatedAt': '2020-01-29T08:59:11Z', 'isLatest': True}]",JavaScript,"[{'name': 'JavaScript'}, {'name': 'Shell'}]",1.0,False,,,0.0,[],MIT
yeutech-lab/rollup-umd-documentation,bootstrap-styled/saga,157777081.0,https://github.com/bootstrap-styled/saga,saga,bootstrap-styled,7.0,5.0,"[{'tagName': 'v1.1.1', 'author': {'login': 'kopax', 'databaseId': 1866564}, 'createdAt': '2018-12-16T23:40:17Z', 'publishedAt': '2018-12-16T23:40:36Z', 'updatedAt': '2018-12-16T23:40:36Z', 'isLatest': True}]",JavaScript,"[{'name': 'JavaScript'}, {'name': 'Shell'}]",0.0,False,,,0.0,[],MIT
